,matchId,contestantId,periodId,timeMin,timeMinSec,timestamp,type,decision,outcome,playerId
127,61dcbsb7t5bqieovumx25xes4,bd1veyn5g4r8zbaquf8b8pksp,2,68,67:34,2020-12-03T14:57:00Z,Goal not awarded,Cancelled,Goal,5ubpbn6j49ob3rmfq4ac356tx
128,bekwil36ammqt8qb5dymm4l7u,hfu6x1260h62zj7xl6cn95hx,2,62,61:46,2020-10-04T20:51:25Z,Penalty not awarded,Cancelled,Penalty,9t9zkfm9ko2ezs4ch46a0wgr9
129,bekwil36ammqt8qb5dymm4l7u,hfu6x1260h62zj7xl6cn95hx,2,85,84:09,2020-10-04T21:13:47Z,Goal awarded,Confirmed,Goal,3v7tgph1d8cgw4sj3vhq9x3hl
130,61beqwnm85nrm12tf1cl7ciz8,8puc16dm0ut6bvv6u6ivpe2ch,1,14,13:42,2020-12-02T13:45:30Z,Penalty not awarded,Cancelled,Penalty,drtoqm93lulssafz5z6rpavv9
131,61beqwnm85nrm12tf1cl7ciz8,8puc16dm0ut6bvv6u6ivpe2ch,2,74,73:09,2020-12-02T15:03:32Z,Goal awarded,Cancelled,No goal,di32qsc0rhuulwdzicqv4tck5
132,719x49v94nzl698q2kqx9wiga,1zsb1ovzidi8rft1vzw4me71m,1,41,40:15,2020-09-05T23:10:38Z,Card upgrade,Cancelled,Card upgraded,e9ku3q311eg5t8lrxfcof65m1
133,bfl2rbjqjw6l600unlzyqjo16,ehsvy9m92bp6ktgoy6pwv8rdm,1,34,33:34,2020-10-09T21:32:48Z,Card upgrade,Confirmed,No change,abzf358c7vw4vhw5ad819t9zp
134,bfl2rbjqjw6l600unlzyqjo16,bw2py3aiws1rq61pokete3kv2,1,45,44:37,2020-10-09T21:43:51Z,Penalty not awarded,Cancelled,Penalty,b3gzwpdhc43oz9u4ihkqgug2d
135,2m2tkp88wqo6lxp39cw9wgowk,9dqkgu00tn42928lrrxlis95a,1,15,14:12,2020-12-11T00:43:49Z,Penalty not awarded,Cancelled,Penalty,gy2us7bvt80iil2vmzdmxrrp
136,2m2tkp88wqo6lxp39cw9wgowk,9dqkgu00tn42928lrrxlis95a,1,41,40:45,2020-12-11T01:10:22Z,Card upgrade,Confirmed,No change,cjmai4tgydff5g6ykyrclt8et
137,2m2tkp88wqo6lxp39cw9wgowk,bd1veyn5g4r8zbaquf8b8pksp,2,78,77:19,2020-12-11T02:06:18Z,Card upgrade,Cancelled,Card upgraded,7p1eebxgitfz4bhv988kbiqne
138,71ghet1v7h8riqtzbcjd1afl6,eizgmllil1zrzpk6zbue0hl7m,1,19,18:39,2020-09-04T15:22:17Z,Goal not awarded,Cancelled,Goal,8jiug6aq1plhdoc07u3fem6l1
139,2lh9d2t2bxocxldsaf3ns3i1g,cpqaizhc99tbsqm6h2cgampio,1,42,41:52,2020-11-19T19:56:05Z,Goal awarded,Cancelled,No goal,748h26tk6u48g3iwpcwjsbe8l
140,9pqn0xp8a8ubg1twm305ibnmy,ehsvy9m92bp6ktgoy6pwv8rdm,1,24,23:02,2020-02-29T21:23:33Z,Penalty not awarded,Cancelled,Penalty,emxgknli5uxn1xhkmxdixyh91
141,9pqn0xp8a8ubg1twm305ibnmy,ehsvy9m92bp6ktgoy6pwv8rdm,2,67,66:11,2020-02-29T22:28:00Z,Card upgrade,Confirmed,No change,abzf358c7vw4vhw5ad819t9zp
142,18sc8umawu7jp8f65hjcnnuqy,8rpjhpm2j1q7p40zfmlqpj8am,2,50,50:00,2020-01-25T01:09:03Z,Penalty not awarded,Cancelled,Penalty,95pzzekgfm9589ip2fomr3lxx
143,18sc8umawu7jp8f65hjcnnuqy,8rpjhpm2j1q7p40zfmlqpj8am,2,66,65:49,2020-01-25T01:24:52Z,Card upgrade,-,-,7f1z0zw8ecsk04glhsdxl6ndh
144,18sc8umawu7jp8f65hjcnnuqy,8rpjhpm2j1q7p40zfmlqpj8am,2,90,89:22,2020-01-25T01:48:25Z,Mistaken identity,Cancelled,Ref cautions/sends off a different player,95pzzekgfm9589ip2fomr3lxx
145,72cjc9ptw5tb538qjy0fmylbe,7gkwmrw0cjz0m168ouw00z4gy,1,38,37:40,2020-09-09T14:37:57Z,Goal not awarded,Cancelled,Goal,3k8wr5chjtaakdyyftcqpak0l
146,e9etk1zchj8zhlgnbaefvcrqi,4wb893al733feakm9teqqqnlg,2,52,51:50,2020-03-15T16:10:49Z,Penalty not awarded,Cancelled,Penalty,34x6eabrx5t9one9q6ifwtyp5
147,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,2,70,69:07,2020-10-31T15:31:27Z,Penalty awarded,Cancelled,No penalty,y9v0u6zwopgjkp64nili8rth
148,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,1,17,16:27,2020-11-15T14:18:00Z,Card upgrade,Cancelled,Card upgraded,3u8o54ozv8frmg0dct2uqnt1x
149,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,1,47,46:17,2020-11-15T14:47:50Z,Penalty not awarded,Cancelled,Penalty,5io2106rxpshzsc39qigm1nth
150,37vm91kjjjdhjsohmnxjuj9t6,bd1veyn5g4r8zbaquf8b8pksp,1,6,5:03,2020-01-28T21:06:20Z,Penalty awarded,Cancelled,No penalty,egdpq1pva7hl7w0yfnwj469cl
151,37vm91kjjjdhjsohmnxjuj9t6,bd1veyn5g4r8zbaquf8b8pksp,2,77,76:43,2020-01-28T22:39:58Z,Card upgrade,Cancelled,Card upgraded,8o9og3flymylrmh0dluedx6mt
152,24w5grlqt6w262h5xf9dnoj8q,cdj7tqbsake4a0ks5pwm23t23,2,90,89:40,2020-10-15T20:51:20Z,Card upgrade,Cancelled,Card upgraded,8ez1fcn0k8b9m3hpac7mzbqad
153,18v4yo6lnrquffm7nk3fjxgtm,1f72vqlndphmzn45x0nhdqk3e,2,50,49:53,2020-01-25T16:11:37Z,Penalty not awarded,Cancelled,Penalty,auoha2xfik4deh4dphlrlvm22
154,18v4yo6lnrquffm7nk3fjxgtm,bw2py3aiws1rq61pokete3kv2,2,70,69:37,2020-01-25T16:31:21Z,Goal awarded,Cancelled,No goal,b3gzwpdhc43oz9u4ihkqgug2d
155,bfibgdc0gwe27rs4cjlh0lxt6,2nxp7ufclxwbtaozvx5zj1zym,2,82,81:54,2020-10-11T23:13:53Z,Penalty not awarded,Cancelled,Penalty,9vdeig9blhvbzulb4u4kl6qui
156,60aloysx2iauzhnfx11bkp1xw,2nxp7ufclxwbtaozvx5zj1zym,2,88,87:29,2020-11-22T15:17:55Z,Penalty awarded,Cancelled,No penalty,47cw7z4p92y3ioalree2uvf85
